sifra_bs;naziv;brend;adresa;mesto;gps_lat;gps_lon
495;B.S. PIVNICE;1;Put za Ratkovo bb;PIVNICE;45.47114600;19.44309700
496;B.S. NOVI SAD 16;1;Auto put NS-BG;NOVI SAD;45.27581700;19.92149600
498;B.S. SILBAŠ;1;Nikole Tesle bb;SILBAS;45.38793300;19.46080000
502;B.S. ALEKSINAC GRAD;1;Šumatovačka b.b.;ALEKSINAC;43.53628600;21.71089400
504;B.S. ARANĐELOVAC 1;1;Zanatlijska br. 1;ARANDJELOVAC;44.30133800;20.57526800
505;B.S. BELA PALANKA;1;Srpskih vladara;BELA PALANKA;43.22480700;22.29553000
506;B.S. ČUKARICA;1;Radnička 2;BEOGRAD;44.78621700;20.41536600
508;B.S. NOVI BEOGRAD;2;Bulevar Mihajla Pupina bb;BEOGRAD;44.81415500;20.43643700
509;B.S. ZMAJ 2;1;Autoput Bgd-Zagreb ulaz;BEOGRAD;44.83104200;20.36923200
510;B.S. VALJEVO 1;1;Vuka Karadžića;VALJEVO;44.26807900;19.88662700
511;B.S. ČARLI ČAPLINA;1;Bulevar Despota Stefana bb;BEOGRAD;44.81683700;20.47737800
512;B.S. MIJE KOVAČEVIĆA;1;Mije Kovacevica 7b;BEOGRAD;44.81383300;20.48975900
514;B.S. TAŠMAJDAN;1;Ilije Garašanina bb;BEOGRAD;44.80870500;20.47428800
517;B.S. NOVI PAZAR 2;1;S. Kovačevića bb;NOVI PAZAR;43.14642200;20.52780400
518;B.S. VALJEVO 2;1;Vladike Nikolaja 67;VALJEVO;44.27565300;19.90986600
519;B.S. VALJEVO 3;1;Popucke;VALJEVO;44.29266900;19.95992700
522;B.S. TOPČIDER;1;Rakovački put bb;BEOGRAD;44.77338600;20.43772500
523;B.S. TRG OSLOBOĐENJA;1;Bulevar oslobođenja bb;BEOGRAD;44.78701100;20.46542600
524;B.S. ĐAČKO OSTRVO;2;Vizantijski bulevar bb;NIS;43.32419900;21.92650100
525;B.S. FRANCUSKA;1;Francuska 1;BEOGRAD;44.82022800;20.46705700
526;B.S. GOSPODAR JEVREMOVA;1;Gospodar Jevremova bb;BEOGRAD;44.82280200;20.45540600
528;B.S. AVALSKI PUT;2;Bulevar oslobodenja 343;BEOGRAD;44.76061800;20.48109000
529;B.S. FRANJO KRČ;1;Batajnički drum BB;BEOGRAD;44.67875700;20.30370000
530;B.S. SENJSKI TRG;1;Senjski trg bb, Zemun;BEOGRAD;44.84260800;20.40508700
531;B.S. SAOBRAĆAJNA ŠKOLA;1;Cara Dušana 262, Zemun;BEOGRAD;44.85876600;20.37974600
533;B.S. AERODROM SURČIN;1;Aerodrom Surčin bb, Surčin;BEOGRAD;44.81743800;20.28865800
535;B.S. VML 1;1;Autoput Beograd-Niš bb;BEOGRAD;44.76460900;20.52666700
536;B.S. VML 2;1;Autoput Niš-Beograd bb;BEOGRAD;44.76501700;20.52720300
539;B.S. BUJANOVAC GRAD 1;1;K. Petrovića br 1;BUJANOVAC;42.45387600;21.76958100
540;B.S. ČAČAK 1;1;Ulica 10;CACAK;43.89520900;20.35041300
541;B.S. PRELJINA 1;1;Ibarski put bb;PRELJINA;43.91353400;20.40727600
545;B.S. GORNJI MILANOVAC 1;1;Kneza Aleksandra bb;GORNJI MILANOVAC;44.03041400;20.46740100
546;B.S. IVANJICA;1;Milinka Kušica bb;IVANJICA;43.58868600;20.22413500
549;B.S. KRAGUJEVAC 1;1;R.Domanovića b.b.;KRAGUJEVAC;44.01653100;20.90719700
550;B.S. KRAGUJEVAC 2;1;Lepenički bulevar b.b.;KRAGUJEVAC;44.01878400;20.92959900
551;B.S. KRALJEVO 1;1;Dositejeva bb;KRALJEVO;43.72599400;20.71641700
552;B.S. KRUŠEVAC 1;1;Gazimestanski trg BB;KRUSEVAC;43.58598200;21.32242400
555;B.S. PREDEJANE;1;Predejane, autoput;PREDEJANE;42.83320400;22.13122800
556;B.S. NOVO MIRIJEVO;1;Mihaila Bulgakova 2;BEOGRAD-KARABURMA;44.78585200;20.53698800
557;B.S. MAJDANPEK;1;Rudarska 14;MAJDANPEK;44.41995600;21.93499800
558;B.S. MALI ZVORNIK;1;Vuka Karadžića bb;MALI ZVORNIK;44.39021600;19.10887200
559;B.S. MRČAJEVCI;1;MRČAJEVCI;MRCAJEVCI;43.86381600;20.54162300
560;B.S. NEGOTIN 1;1;Pikijeva b.b.;NEGOTIN;44.23578500;22.53568400
561;B.S. NIŠ 1;1;Trg Pavla Stojkovića bb;NIS;43.31683900;21.89302700
562;B.S. NIŠ AUTOPUT;1;Gradsko polje bb;NIS;43.32934856;21.89776897
563;B.S. MEDIJANA 1;1;Bulevar Cara Konstantina bb;NIS;43.31113100;21.93199400
565;B.S. PARAĆIN 1;1;T. Živanovića bb;PARACIN;43.87267800;21.39898500
568;B.S. POŽAREVAC 1;1;Čede Vasovića 1;POZAREVAC;44.61700200;21.18288500
569;B.S. ŽABARI;1;Planjanski put bb;ZABARI;44.35699900;21.20741100
570;B.S. PROKUPLJE 1;1;Koste Vojinovica bb;PROKUPLJE;43.23128700;21.57030300
571;B.S. RAŠKA-GRAD;1;Železnička bb;RASKA;43.28922300;20.61683200
572;B.S. RAŽANJ;1;Partizanska 163;RAZANJ;43.67857200;21.54605600
575;B.S. BEOGRAD SEVER;1;Bulever Kralja Aleksandra 457;BEOGRAD;44.78156090;20.52334070
576;B.S. JAGODINA 1;1;Ulica 7. jula;JAGODINA;43.97713400;21.25725700
577;B.S. ŠABAC 1;1;Pocerska bb;SABAC;44.73935400;19.67438900
578;B.S. UŽICE GRAD 1;2;Omladinska bb;UZICE;43.85205800;19.84519200
580;B.S. TOPOLA;1;Bulevar Vožda Karađorđa;TOPOLA;44.25735000;20.68240600
581;B.S. UŠĆE;1;Ušće bb;USCE;43.46989600;20.61807600
583;B.S. VELIKA  PLANA  - GRAD 1;1;28 oktobra bb;VELIKA PLANA;44.32043600;21.08025300
584;B.S. BAČKA PALANKA;1;Obrovački put bb;BACKA PALANKA;45.25354400;19.38140600
587;B.S. VRNJAČKA  BANJA;2;Kneza Miloša bb;VRNJACKA BANJA;43.63829600;20.91852700
588;B.S. ZAJEČAR 1;1;Ljube Nešića 147;ZAJECAR;43.89823400;22.28527300
595;B.S. BOR 1;1;Nikole Pašića 56;BOR;44.06770700;22.09910600
596;B.S. RADINAC;1;Radinac;RADINAC;44.61640100;20.96193600
597;B.S. KLADOVO;1;Karataški put b.b.;KLADOVO;44.62213000;22.58733300
599;B.S. PRIBOJ;1;29. oktobra br. 47;PRIBOJ NA LIMU;43.56113400;19.54296100
601;B.S. ŽELEZNIK;1;Avalska 1;BEOGRAD;44.72853900;20.37534700
602;B.S. NACIONAL;1;Bežaniska kosa (Motel Nacional);BEOGRAD;44.82623600;20.38678400
604;B.S. ŽARKA ZRENJANINA;1;Vojvode Šupljikca 44;BEOGRAD;44.79823400;20.48636900
605;B.S. GRČIĆA MILENKA;1;Grčića Milenka 15;BEOGRAD;44.79256900;20.48988800
612;B.S. TABANOVAČKA;1;Tabanovačka 1;BEOGRAD;44.78540200;20.47422400
613;B.S. XI GIMNAZIJA;1;Grčića Milenka 71a;BEOGRAD;44.78782700;20.48838600
614;B.S. VASE PELAGIĆA;1;Andre Nikolića bb;BEOGRAD;44.78836300;20.44070700
619;B.S. ČELAREVO;1;Topolački put bb;CELAREVO;45.25390900;19.48787900
628;B.S. UGRINOVAČKA;1;Ugrinovačka 137, Zemun;BEOGRAD;44.84964600;20.38843600
630;B.S. BLAGOJA PAROVIĆA;1;Požeška 85;BEOGRAD;44.77430800;20.41390700
631;B.S. VAREŠKA;1;Vareška bb;BEOGRAD;44.75074800;20.44821700
633;B.S. VARVARIN;1;Jove Kursule bb;VARVARIN;43.72419100;21.37085400
634;B.S. DESPOTOVAC;1;Rudnička 80;DESPOTOVAC;44.10543000;21.42977700
635;B.S. KURŠUMLIJA;1;16.februar 54;KURSUMLIJA;43.13766700;21.27298600
636;B.S. DIMITRIJA TUCOVIĆA;1;Dimitrija Tucovića bb;BEOGRAD;44.80640900;20.48366500
638;B.S. JOVANA MARINOVIĆA;1;Jovana Marinovića 22;BEOGRAD;44.77636800;20.45650000
639;B.S. SURČIN SELO;1;Vojvođanska 237;BEOGRAD;44.79561600;20.29923700
641;B.S. BATAJNICA;1;Majora Zorana Radosavljevića 151;BEOGRAD;44.89925600;20.28741400
643;B.S. ŽITKOVAC;1;Ratka Jovića bb;ZITKOVAC;43.50822000;21.69445800
646;B.S. BRAĆE JERKOVIĆ;1;Darvinova bb;BEOGRAD;44.77280600;20.48619700
648;B.S. DŽONA KENEDIJA;1;Džona Kenedija 10;BEOGRAD;44.83370300;20.41101000
649;PRODAVNICA KPC;1;Milentija Popovića 1;NOVI BEOGRAD;44.81416000;20.43644000
650;B.S. POP LUKINA;1;Pop Lukina 12;BEOGRAD;44.81572200;20.45291700
652;B.S. SMEDEREVSKI PUT;1;Bulevar Kralja Aleksandra 520;BEOGRAD;44.77469400;20.53608700
653;B.S. FUTOG;1;Rade Kondica bb;FUTOG;45.23916700;19.70185500
655;B.S. KNJAŽEVAC 1;1;Knjaza Miloša bb;KNJAZEVAC;43.57149800;22.26379400
